Post Date,Due Date,Encoded Name,Invoice #,Charge Category,Charge Detail,Program,Program Schedule,Billing Term,Original Charge,Discount 1,Discount 2,Discount 3,Discount 4,Discount Amount,Original Charge Amount,Adjustment Amount,Current Charge Amount,Encoded Name
7/27/2022,8/1/2022,BX294,25947497,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,BX294
8/1/2022,8/1/2022,DA466,26727940,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,DA466
7/15/2022,8/1/2022,PC821,22239448,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 ,($500.00), $-   ,PC821
8/2/2022,8/2/2022,AO557,27052993,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,AO557
8/2/2022,8/2/2022,ZJ754,27053421,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,ZJ754
8/3/2022,8/3/2022,SN870,27289544,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,SN870
8/9/2022,8/9/2022,LM145,27975885,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,LM145
8/10/2022,8/10/2022,AQ336,28187397,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,AQ336
8/10/2022,8/10/2022,SJ111,28187356,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,SJ111
8/11/2022,8/12/2022,EM146,28373622,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,EM146
8/11/2022,8/12/2022,JN116,28374811,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,JN116
8/11/2022,8/12/2022,OM863,28374172,Deposit,Security Deposit,,,,$500.00 ,Special Promotion,,,,($500.00), $-   , $-   , $-   ,OM863
8/15/2022,8/15/2022,BD987,28628480,Deposit,Security Deposit,,,,$500.00 ,,,,,($500.00), $-   , $-   , $-   ,BD987
8/15/2022,8/15/2022,JH765,28716105,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,JH765
8/15/2022,8/15/2022,JI590,28641240,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,JI590
8/15/2022,8/15/2022,MV832,28629929,Deposit,Security Deposit,,,,$500.00 ,Friends & Family,,,,($500.00), $-   , $-   , $-   ,MV832
8/15/2022,8/15/2022,NS328,28717242,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,NS328
8/22/2022,8/22/2022,DA530,29603353,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,DA530
8/25/2022,8/25/2022,AL254,30162795,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,AL254
8/25/2022,8/25/2022,LS329,30227536,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,LS329
8/26/2022,8/29/2022,RM321,30346436,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,RM321
8/31/2022,8/31/2022,ME496,31374125,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,ME496
9/14/2022,9/16/2022,MS696,33389778,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,MS696
9/21/2022,9/21/2022,HH814,34162808,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 ,($500.00), $-   ,HH814
9/28/2022,9/28/2022,ED193,35104362,Deposit,Security Deposit,,,,$256.00 ,,,,, $-   ,$256.00 , $-   ,$256.00 ,ED193
10/4/2022,10/10/2022,AA861,35566061,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,AA861
10/12/2022,10/12/2022,SJ262,36123634,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 ,($500.00), $-   ,SJ262
10/14/2022,10/14/2022,RV308,36886779,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,RV308
10/14/2022,10/14/2022,SS200,36888371,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,SS200
10/27/2022,10/31/2022,LB679,38248177,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,LB679
10/27/2022,10/31/2022,SS200,38248322,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 ,($500.00), $-   ,SS200
11/10/2022,11/10/2022,AL551,39442915,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,AL551
11/10/2022,11/10/2022,PK439,39443036,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,PK439
11/14/2022,11/14/2022,GB770,39663769,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 ,($500.00), $-   ,GB770
11/14/2022,11/14/2022,NN583,39663677,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,NN583
11/16/2022,11/16/2022,DT181,39808242,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,DT181
11/22/2022,11/22/2022,GH526,40127424,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,GH526
11/28/2022,11/28/2022,ES118,40460751,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,ES118
12/5/2022,12/5/2022,GP226,41124617,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 ,($500.00), $-   ,GP226
12/6/2022,12/6/2022,MR369,41213904,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,MR369
12/9/2022,12/9/2022,ZI474,41624030,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 ,($500.00), $-   ,ZI474
12/12/2022,12/12/2022,RB437,41792993,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,RB437
12/14/2022,12/14/2022,AC367,42004052,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,AC367
1/3/2023,1/3/2023,DT781,43828422,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 ,($500.00), $-   ,DT781
1/4/2023,1/4/2023,YN891,43960277,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,YN891
1/5/2023,1/5/2023,MT215,44066930,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,MT215
1/6/2023,1/6/2023,AJ193,44194778,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 ,($500.00), $-   ,AJ193
1/6/2023,1/6/2023,LW234,44194643,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 ,($500.00), $-   ,LW234
1/10/2023,1/10/2023,LA585,44457670,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,LA585
1/12/2023,1/12/2023,EC567,44689269,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,EC567
1/12/2023,1/12/2023,ZI474,44689398,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,ZI474
1/13/2023,1/13/2023,VA179,44811196,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,VA179
1/17/2023,1/17/2023,HT481,45062756,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,HT481
1/23/2023,1/23/2023,TL619,45500943,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 ,($500.00), $-   ,TL619
1/25/2023,1/25/2023,OJ220,45676876,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 ,($500.00), $-   ,OJ220
1/26/2023,1/26/2023,YU722,45741830,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,YU722
1/27/2023,1/27/2023,MA985,45933333,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,MA985
2/6/2023,2/6/2023,AV103,46591612,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,AV103
3/1/2023,3/1/2023,ET932,48729400,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,ET932
3/1/2023,3/1/2023,GH513,48729298,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,GH513
3/10/2023,3/10/2023,ZU852,51060333,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,ZU852
3/14/2023,3/14/2023,ZH509,51435483,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 ,($500.00), $-   ,ZH509
3/27/2023,3/27/2023,HR233,52597175,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,HR233
3/27/2023,3/27/2023,NG856,52597247,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,NG856
3/31/2023,3/31/2023,RC963,53144290,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,RC963
3/31/2023,3/31/2023,RK366,53144289,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,RK366
4/10/2023,4/10/2023,JG940,53749279,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,JG940
4/10/2023,4/10/2023,PM313,53749280,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 ,($500.00), $-   ,PM313
4/14/2023,4/14/2023,LS215,54303973,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,LS215
4/17/2023,4/17/2023,MA994,54512703,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,MA994
4/18/2023,4/18/2023,AQ220,54633571,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 ,($500.00), $-   ,AQ220
4/18/2023,4/18/2023,SR468,54633109,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,SR468
4/20/2023,4/20/2023,MB500,54912306,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,MB500
4/21/2023,4/21/2023,WM146,55052438,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,WM146
4/25/2023,4/25/2023,CC948,55311490,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,CC948
4/25/2023,4/25/2023,LC530,55312242,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,LC530
4/25/2023,4/25/2023,MH971,55314261,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,MH971
4/27/2023,4/27/2023,MM838,55685004,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,MM838
4/27/2023,4/27/2023,RH251,55681172,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,RH251
5/4/2023,5/4/2023,AJ150,56527688,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 ,($500.00), $-   ,AJ150
5/4/2023,5/4/2023,NA166,56516622,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,NA166
5/9/2023,5/9/2023,YN410,56922475,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,YN410
5/9/2023,5/9/2023,ZA406,56922628,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 ,($500.00), $-   ,ZA406
5/17/2023,5/17/2023,YS128,57594479,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,YS128
5/19/2023,5/19/2023,EK601,57878049,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,EK601
5/25/2023,5/25/2023,TT516,58469671,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 ,($500.00), $-   ,TT516
5/26/2023,5/26/2023,RR665,58668825,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,RR665
6/5/2023,6/5/2023,AA828,59858229,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,AA828
6/5/2023,6/5/2023,WR485,59858416,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,WR485
6/7/2023,6/7/2023,AY581,60243665,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 ,($500.00), $-   ,AY581
6/14/2023,6/14/2023,SE659,61447687,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,SE659
6/21/2023,6/21/2023,CE590,62342226,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,CE590
6/22/2023,6/22/2023,AJ150,62599843,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,AJ150
7/13/2023,7/13/2023,TK549,67193364,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,TK549
7/14/2023,7/14/2023,EK740,67846570,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,EK740
7/14/2023,7/14/2023,KY791,67847038,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 ,($500.00), $-   ,KY791
7/20/2023,7/20/2023,AC196,70111568,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,AC196
7/20/2023,7/20/2023,ZT667,70111202,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,ZT667
5/23/2022,5/31/2022,AT168,18765259,Enrollment Fee,Re-enrollment,,,,$100.00 ,,,,, $-   ,$100.00 , $-   ,$100.00 ,AT168
5/27/2022,5/31/2022,AJ582,19107544,Enrollment Fee,Re-enrollment,,,,$100.00 ,,,,, $-   ,$100.00 ,($100.00), $-   ,AJ582
5/31/2022,5/31/2022,BR560,19225156,Enrollment Fee,Re-enrollment,,,,$100.00 ,,,,, $-   ,$100.00 , $-   ,$100.00 ,BR560
5/23/2022,5/31/2022,CC235,18765151,Enrollment Fee,Re-enrollment,,,,$100.00 ,,,,, $-   ,$100.00 , $-   ,$100.00 ,CC235
5/23/2022,5/31/2022,DE784,18765161,Enrollment Fee,Re-enrollment,,,,$100.00 ,,,,, $-   ,$100.00 , $-   ,$100.00 ,DE784
5/23/2022,5/31/2022,GG321,18765173,Enrollment Fee,Re-enrollment,,,,$100.00 ,,,,, $-   ,$100.00 , $-   ,$100.00 ,GG321
5/31/2022,5/31/2022,JA734,19226739,Enrollment Fee,Re-enrollment,,,,$100.00 ,,,,, $-   ,$100.00 , $-   ,$100.00 ,JA734
5/27/2022,5/31/2022,KB487,19107997,Enrollment Fee,Re-enrollment,,,,$100.00 ,,,,, $-   ,$100.00 ,($100.00), $-   ,KB487
5/23/2022,5/31/2022,MR508,18765237,Enrollment Fee,Re-enrollment,,,,$100.00 ,,,,, $-   ,$100.00 ,($100.00), $-   ,MR508
5/31/2022,5/31/2022,MA580,19226170,Enrollment Fee,Re-enrollment,,,,$100.00 ,,,,, $-   ,$100.00 , $-   ,$100.00 ,MA580
5/23/2022,5/31/2022,OL892,18765234,Enrollment Fee,Re-enrollment,,,,$100.00 ,,,,, $-   ,$100.00 ,($100.00), $-   ,OL892
5/23/2022,5/31/2022,VV916,18765281,Enrollment Fee,Re-enrollment,,,,$100.00 ,,,,, $-   ,$100.00 , $-   ,$100.00 ,VV916
5/23/2022,5/31/2022,ZJ591,18765186,Enrollment Fee,Re-enrollment,,,,$100.00 ,,,,, $-   ,$100.00 , $-   ,$100.00 ,ZJ591
6/1/2022,6/1/2022,AH544,19319137,Enrollment Fee,Re-enrollment,,,,$100.00 ,,,,, $-   ,$100.00 , $-   ,$100.00 ,AH544
6/1/2022,6/1/2022,AA335,19319135,Enrollment Fee,Re-enrollment,,,,$100.00 ,,,,, $-   ,$100.00 , $-   ,$100.00 ,AA335
6/1/2022,6/1/2022,BS238,19319140,Enrollment Fee,Re-enrollment,,,,$100.00 ,,,,, $-   ,$100.00 , $-   ,$100.00 ,BS238
6/1/2022,6/1/2022,BU753,19319142,Enrollment Fee,Re-enrollment,,,,$100.00 ,,,,, $-   ,$100.00 , $-   ,$100.00 ,BU753
6/1/2022,6/1/2022,CK660,19319138,Enrollment Fee,Re-enrollment,,,,$100.00 ,,,,, $-   ,$100.00 , $-   ,$100.00 ,CK660
6/1/2022,6/1/2022,DH547,19319136,Enrollment Fee,Re-enrollment,,,,$100.00 ,,,,, $-   ,$100.00 , $-   ,$100.00 ,DH547
6/1/2022,6/1/2022,ER947,19318016,Enrollment Fee,Re-enrollment,,,,$100.00 ,,,,, $-   ,$100.00 , $-   ,$100.00 ,ER947
6/1/2022,6/1/2022,IP639,19319139,Enrollment Fee,Re-enrollment,,,,$100.00 ,,,,, $-   ,$100.00 , $-   ,$100.00 ,IP639
6/1/2022,6/1/2022,IS539,19319141,Enrollment Fee,Re-enrollment,,,,$100.00 ,,,,, $-   ,$100.00 , $-   ,$100.00 ,IS539
6/1/2022,6/1/2022,LH887,19318827,Enrollment Fee,Re-enrollment,,,,$100.00 ,,,,, $-   ,$100.00 , $-   ,$100.00 ,LH887
6/1/2022,6/2/2022,IO751,19329437,Enrollment Fee,New Enrollment,,,,$350.00 ,,,,, $-   ,$350.00 , $-   ,$350.00 ,IO751
6/3/2022,6/3/2022,JF474,19417589,Enrollment Fee,Re-enrollment,,,,$100.00 ,,,,, $-   ,$100.00 ,($100.00), $-   ,JF474
6/3/2022,6/3/2022,JF474,19418006,Enrollment Fee,Re-enrollment,,,,$200.00 ,,,,, $-   ,$200.00 ,($100.00),$100.00 ,JF474
6/3/2022,6/3/2022,KK412,19437931,Enrollment Fee,Re-enrollment,,,,$200.00 ,,,,, $-   ,$200.00 , $-   ,$200.00 ,KK412
6/8/2022,6/8/2022,DW112,19604395,Enrollment Fee,New Enrollment,,,,$175.00 ,,,,, $-   ,$175.00 , $-   ,$175.00 ,DW112
6/8/2022,6/8/2022,DW724,19604380,Enrollment Fee,New Enrollment,,,,$350.00 ,,,,, $-   ,$350.00 , $-   ,$350.00 ,DW724
6/13/2022,6/13/2022,AA922,19788876,Enrollment Fee,New Enrollment,,,,$350.00 ,,,,, $-   ,$350.00 , $-   ,$350.00 ,AA922
6/14/2022,6/14/2022,NS758,19962185,Enrollment Fee,New Enrollment,,,,$350.00 ,,,,, $-   ,$350.00 , $-   ,$350.00 ,NS758
6/15/2022,6/15/2022,SS159,20047122,Enrollment Fee,Summer,,,,$100.00 ,,,,, $-   ,$100.00 , $-   ,$100.00 ,SS159
6/21/2022,6/21/2022,NK751,20253908,Enrollment Fee,New Enrollment,,,,$350.00 ,Financial aid,,,,($100.00),$250.00 , $-   ,$250.00 ,NK751
6/21/2022,6/21/2022,ZJ159,20242103,Enrollment Fee,Summer,,,,$100.00 ,,,,, $-   ,$100.00 , $-   ,$100.00 ,ZJ159
6/22/2022,6/22/2022,EF185,20401980,Enrollment Fee,New Enrollment,,,,$350.00 ,,,,, $-   ,$350.00 , $-   ,$350.00 ,EF185
6/22/2022,6/22/2022,SW414,20399475,Enrollment Fee,Summer,,,,$100.00 ,,,,, $-   ,$100.00 , $-   ,$100.00 ,SW414
6/27/2022,6/27/2022,AS775,20594028,Enrollment Fee,Summer,,,,$100.00 ,,,,, $-   ,$100.00 , $-   ,$100.00 ,AS775
6/30/2022,6/30/2022,AH405,20888131,Enrollment Fee,New Enrollment,,,,$350.00 ,Special Promotion,,,,($175.00),$175.00 , $-   ,$175.00 ,AH405
6/30/2022,6/30/2022,EH577,20888698,Enrollment Fee,New Enrollment,,,,$175.00 ,,,,, $-   ,$175.00 , $-   ,$175.00 ,EH577
7/1/2022,7/1/2022,AS333,20969533,Enrollment Fee,New Enrollment,,,,$350.00 ,,,,, $-   ,$350.00 , $-   ,$350.00 ,AS333
6/14/2022,7/1/2022,JC823,19924028,Enrollment Fee,New Enrollment,,,,$350.00 ,,,,, $-   ,$350.00 , $-   ,$350.00 ,JC823
7/1/2022,7/1/2022,SS385,20969646,Enrollment Fee,New Enrollment,,,,$175.00 ,,,,, $-   ,$175.00 , $-   ,$175.00 ,SS385
7/5/2022,7/5/2022,SK678,21080899,Enrollment Fee,New Enrollment,,,,$350.00 ,,,,, $-   ,$350.00 ,($350.00), $-   ,SK678
7/5/2022,7/5/2022,SA984,21057673,Enrollment Fee,New Enrollment,,,,$350.00 ,,,,, $-   ,$350.00 , $-   ,$350.00 ,SA984
7/8/2022,7/8/2022,DZ990,21316805,Enrollment Fee,Re-enrollment,,,,$200.00 ,,,,, $-   ,$200.00 , $-   ,$200.00 ,DZ990
7/8/2022,7/8/2022,GI324,21316640,Enrollment Fee,Re-enrollment,,,,$200.00 ,,,,, $-   ,$200.00 , $-   ,$200.00 ,GI324
7/8/2022,7/8/2022,ML404,21336336,Enrollment Fee,New Enrollment,,,,$175.00 ,,,,, $-   ,$175.00 , $-   ,$175.00 ,ML404
7/8/2022,7/8/2022,YK647,21316767,Enrollment Fee,Re-enrollment,,,,$200.00 ,,,,, $-   ,$200.00 , $-   ,$200.00 ,YK647
7/11/2022,7/11/2022,JG799,21435613,Enrollment Fee,New Enrollment,,,,$350.00 ,,,,, $-   ,$350.00 , $-   ,$350.00 ,JG799
7/14/2022,7/14/2022,LJ120,21840595,Enrollment Fee,New Enrollment,,,,$350.00 ,,,,,($350.00), $-   , $-   , $-   ,LJ120
7/1/2022,7/15/2022,AB723,20972337,Enrollment Fee,Re-enrollment,,,,$200.00 ,,,,, $-   ,$200.00 ,($200.00), $-   ,AB723
7/1/2022,7/15/2022,AW188,20972342,Enrollment Fee,Re-enrollment,,,,$200.00 ,,,,, $-   ,$200.00 ,($200.00), $-   ,AW188
7/1/2022,7/15/2022,AK875,20972338,Enrollment Fee,Re-enrollment,,,,$200.00 ,,,,, $-   ,$200.00 , $-   ,$200.00 ,AK875
7/1/2022,7/15/2022,AP659,20972339,Enrollment Fee,Re-enrollment,,,,$200.00 ,,,,, $-   ,$200.00 , $-   ,$200.00 ,AP659
7/1/2022,7/15/2022,DH221,20972340,Enrollment Fee,Re-enrollment,,,,$200.00 ,,,,, $-   ,$200.00 , $-   ,$200.00 ,DH221
7/1/2022,7/15/2022,HF905,20972343,Enrollment Fee,Re-enrollment,,,,$200.00 ,,,,, $-   ,$200.00 ,($200.00), $-   ,HF905
6/21/2022,7/15/2022,MJ601,20242473,Enrollment Fee,New Enrollment,,,,$350.00 ,,,,, $-   ,$350.00 , $-   ,$350.00 ,MJ601
7/1/2022,7/15/2022,MA427,20972344,Enrollment Fee,Re-enrollment,,,,$200.00 ,,,,, $-   ,$200.00 , $-   ,$200.00 ,MA427
7/1/2022,7/15/2022,MT695,20972341,Enrollment Fee,Re-enrollment,,,,$200.00 ,,,,, $-   ,$200.00 , $-   ,$200.00 ,MT695
7/1/2022,7/15/2022,PG138,20972336,Enrollment Fee,Re-enrollment,,,,$200.00 ,,,,, $-   ,$200.00 , $-   ,$200.00 ,PG138
7/1/2022,7/15/2022,RA969,20972334,Enrollment Fee,Re-enrollment,,,,$200.00 ,,,,, $-   ,$200.00 ,($200.00), $-   ,RA969
7/1/2022,7/15/2022,SP954,20972335,Enrollment Fee,Re-enrollment,,,,$200.00 ,,,,, $-   ,$200.00 , $-   ,$200.00 ,SP954
7/22/2022,7/22/2022,FK590,24894850,Enrollment Fee,Re-enrollment,,,,$200.00 ,,,,, $-   ,$200.00 , $-   ,$200.00 ,FK590
7/22/2022,7/22/2022,OW589,24736760,Enrollment Fee,New Enrollment,,,,$350.00 ,,,,, $-   ,$350.00 , $-   ,$350.00 ,OW589
7/25/2022,7/25/2022,SW414,25378215,Enrollment Fee,Re-enrollment,,,,$200.00 ,,,,, $-   ,$200.00 , $-   ,$200.00 ,SW414
7/27/2022,7/27/2022,GH838,25947614,Enrollment Fee,Summer,,,,$100.00 ,,,,, $-   ,$100.00 , $-   ,$100.00 ,GH838
7/27/2022,7/27/2022,IA196,25742720,Enrollment Fee,New Enrollment,,,,$175.00 ,,,,, $-   ,$175.00 , $-   ,$175.00 ,IA196
7/27/2022,8/1/2022,AN203,25947533,Enrollment Fee,New Enrollment,,,,$350.00 ,,,,, $-   ,$350.00 , $-   ,$350.00 ,AN203
