Date,Student Name,First Name,Last Name,Sibling Name,Charge Category,Original Charge,Discount Type,Discount Amount,Adjustment,Billing Amount,Status,Gender,Age,City,State,Program,Room,Schedule,Start Time,End Time
8/1/2022,,,,,Tuition,1050,Employee discount,-1050,0,0,Inactive,female,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,950,,0,0,950,Inactive,male,5,,,Primary,,5SD,8:30 AM,2:45 PM
8/1/2022,,,,Aydin,Tuition,1050,Sibling ,-100,-950,0,Active,female,8,Garland,Texas,Lower Elementary,Newton,5SD,8:30 AM,2:45 PM
8/1/2022,,,,,Tuition,1018.5,Military Discount,-50.92,-46.08,921.5,Inactive,male,6,,,Lower Elementary,,5SD,8:30 AM,2:45 PM
8/1/2022,,,,,Tuition,1100,Old Price Discount,-50,0,1050,Active,male,4,Garland,Texas,Primary,Chevalier,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1050,Sibling ,-100,0,950,Inactive,male,8,,,Lower Elementary,Newton,5SD,8:30 AM,2:45 PM
8/1/2022,,,,,Tuition,900,Sibling ,-87.75,0,812.25,Inactive,female,5,,,Primary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,Avah,Tuition,525,CCA Discount,-85,0,440,Inactive,female,,,,Primary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,June,Tuition,1100,Old Price Discount,-50,0,1050,Active,female,3,Garland,Texas,Toddler,Mozart,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1000,Old Price Discount,-50,0,950,Active,female,10,Richardson,Texas,Upper Elementary,Einstein,5SD,8:30 AM,2:45 PM
8/1/2022,,,,,Tuition,1000,Friends & Family,-300,-700,0,Inactive,female,7,,,Lower Elementary,,5SD,8:30 AM,2:45 PM
8/1/2022,,,,Sarah,Tuition,1100,Friends & Family,-55,0,1045,Active,female,4,Rowlett,Texas,Primary,Chevalier,FD,7:00 AM,6:00 PM
8/1/2022,,,,Elind,Tuition,1155,CCA Discount,-107.8,0,1047.2,Active,male,3,Wylie,Texas,Toddler,Beethoven,FD,7:00 AM,6:00 PM
8/1/2022,,,,Ariana,Tuition,1100,Old Price Discount,-50,0,1050,Active,male,3,Garland,Texas,Primary,Van Gogh,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1000,,0,0,1000,Inactive,male,5,,,Primary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,Maxwell,Tuition,1018.5,Sibling ,-186.76,0,831.74,Active,female,7,Garland,Texas,Lower Elementary,Newton,FD,7:00 AM,6:00 PM
8/1/2022,,,,Kaouthar,Tuition,1000,Friends & Family,-300,0,700,Active,female,11,Richardson,Texas,Upper Elementary,Einstein,5SD,8:30 AM,2:45 PM
8/1/2022,,,,,Tuition,950,Old Price Discount,-100,0,850,Inactive,female,4,,,Primary,,5SD,8:30 AM,2:45 PM
8/1/2022,,,,,Tuition,1000,Old Price Discount,-50,0,950,Inactive,male,7,,,Lower Elementary,,5SD,8:30 AM,2:45 PM
8/1/2022,,,,Avah,Tuition,700,CCA Discount,-207.2,0,492.8,Inactive,female,,,,Infant,,FD,7:00 AM,6:00 PM
8/1/2022,,,,Ali,Tuition,950,Old Price Discount,-100,-850,0,Inactive,female,4,,,Primary,,5SD,8:30 AM,2:45 PM
8/1/2022,,,,,Tuition,1050,CCA Discount,-130,0,920,Active,female,4,Garland,Texas,Primary,Van Gogh,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1155,CCA Discount,-179.8,0,975.2,Active,female,2,Garland,Texas,Toddler,Beethoven,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1050,Old Price Discount,-50,0,1000,Inactive,male,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,Luna,Tuition,1000,Sibling ,-142.62,0,857.38,Inactive,female,4,,,Primary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1000,Old Price Discount,-50,0,950,Inactive,male,5,,,Primary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1000,Corporate Discount,-50,0,950,Active,male,4,Garland,Texas,Primary,Chevalier,5HD,8:30 AM,12:00 PM
8/1/2022,,,,,Tuition,190,,0,0,190,Active,male,4,Garland,Texas,Primary,Chevalier,5HD,8:30 AM,12:00 PM
8/1/2022,,,,Dessa,Tuition,1000,Sibling ,-97.5,0,902.5,Active,female,5,Garland,Texas,Primary,Cassatt,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1000,Sibling ,-50,0,950,Inactive,male,4,,,Primary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,Demi,Tuition,1100,Corporate Discount,-102.5,0,997.5,Active,female,3,Garland,Texas,Toddler,Monet,FD,7:00 AM,6:00 PM
8/1/2022,,,,Stefan,Tuition,950,Sibling ,-135.47,0,814.53,Active,male,7,Garland,Texas,Lower Elementary,Newton,FD,7:00 AM,6:00 PM
8/1/2022,,,,Helios,Tuition,1155,CCA Discount,-428.89,0,726.11,Active,male,10,Garland,Texas,Upper Elementary,Einstein,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1050,Old Price Discount,-50,0,1000,Inactive,male,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1100,Old Price Discount,-50,0,1050,Active,male,3,Garland,Texas,Primary,Chevalier,5SD,8:30 AM,2:45 PM
8/1/2022,,,,Aydin,Tuition,1050,CCA Discount,-70.34,0,979.66,Active,male,5,Wylie,Texas,Primary,Chevalier,FD,7:00 AM,6:00 PM
8/1/2022,,,,Liam,Tuition,1000,Sibling ,-97.5,0,902.5,Active,female,5,Richardson,Texas,Primary,Cassatt,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1100,Teacher Discount,-102.5,-997.5,0,Active,female,3,Richardson,Texas,Toddler,Monet,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1050,Teacher Discount,-52.5,0,997.5,Active,female,3,Richardson,Texas,Toddler,Monet,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1100,Old Price Discount,-50,0,1050,Active,female,3,Rowlett,Texas,Primary,Van Gogh,5SD,8:30 AM,2:45 PM
8/1/2022,,,,,Tuition,1000,Sibling ,-185.49,0,814.51,Inactive,female,7,,,Lower Elementary,,5SD,8:30 AM,2:45 PM
8/1/2022,,,,Liam,Tuition,1155,Teacher Discount,-110,0,1045,Active,female,2,Richardson,Texas,Toddler,Beethoven,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1050,Healthcare Worker,-52.5,0,997.5,Active,male,4,Garland,Texas,Primary,Chevalier,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1018.5,Healthcare Worker,-142.98,0,875.52,Inactive,female,4,,,Primary,,5SD,8:30 AM,2:45 PM
8/1/2022,,,,,Tuition,1018.5,Healthcare Worker,-142.98,0,875.52,Inactive,female,4,,,Primary,,5SD,8:30 AM,2:45 PM
8/1/2022,,,,,Tuition,970,Sibling ,-138.37,0,831.63,Inactive,female,5,,,Primary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1050,Friends & Family,-262.5,0,787.5,Inactive,male,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1100,Old Price Discount,-50,0,1050,Inactive,male,4,,,Primary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,Nooran,Tuition,1155,CCA Discount,-428.89,0,726.11,Active,female,8,Garland,Texas,Lower Elementary,Newton,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,950,Old Price Discount,-100,0,850,Inactive,male,4,,,Primary,,5SD,8:30 AM,2:45 PM
8/1/2022,,,,,Tuition,1050,,0,0,1050,Inactive,female,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1050,,0,-1050,0,Inactive,female,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1050,Sibling ,-52.5,0,997.5,Inactive,male,8,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1050,Friends & Family,-200,0,850,Inactive,male,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,Easton,Tuition,1155,CCA Discount,-179.8,0,975.2,Active,male,2,Garland,Texas,Toddler,Monet,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1000,Old Price Discount,-50,0,950,Inactive,male,4,,,Primary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,Easton,Tuition,1400,CCA Discount,-369.6,0,1030.4,Active,male,1,Garland,Texas,Infant,Vivaldi,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1000,Old Price Discount,-50,0,950,Inactive,female,7,,,Lower Elementary,,5SD,8:30 AM,2:45 PM
8/1/2022,,,,,Tuition,1050,Friends & Family,-200,0,850,Inactive,male,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1100,Teacher Discount,-110,0,990,Active,female,3,Rowlett,Texas,Toddler,Monet,FD,7:00 AM,6:00 PM
8/1/2022,,,,Liam,Tuition,1100,Old Price Discount,-50,0,1050,Active,female,3,Garland,Texas,Primary,Van Gogh,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1100,Corporate Discount,-102.5,0,997.5,Active,female,3,Plano,Texas,Primary,Van Gogh,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,900,Old Price Discount,-100,-800,0,Inactive,female,4,,,Primary,,5HD,8:30 AM,12:00 PM
8/1/2022,,,,,Tuition,950,Old Price Discount,-100,0,850,Inactive,female,4,,,Primary,,5HD,8:30 AM,12:00 PM
8/1/2022,,,,,Tuition,950,Sibling ,-47.5,0,902.5,Inactive,male,5,,,Primary,,5SD,8:30 AM,2:45 PM
8/1/2022,,,,,Tuition,1050,Healthcare Worker,-52.5,0,997.5,Active,male,11,Sachse,Texas,Upper Elementary,Einstein,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1050,Healthcare Worker,-52.5,-997.5,0,Active,male,11,Sachse,Texas,Upper Elementary,Einstein,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1000,Old Price Discount,-50,0,950,Inactive,female,7,,,Lower Elementary,,5SD,8:30 AM,2:45 PM
8/1/2022,,,,,Tuition,1050,,0,0,1050,Inactive,male,8,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,Layaan,Tuition,1100,Friends & Family,-550,0,550,Active,female,3,Wylie,Texas,Primary,Van Gogh,FD,7:00 AM,6:00 PM
8/1/2022,,,,Taleen,Tuition,950,Employee discount,-950,0,0,Active,female,8,Garland,Texas,Lower Elementary,Newton,5SD,8:30 AM,2:45 PM
8/1/2022,,,,Amadeus,Tuition,1000,,0,0,1000,Active,male,6,Garland,Texas,Lower Elementary,Newton,FD,7:00 AM,6:00 PM
8/1/2022,,,,Karam,Tuition,1000,Employee discount,-1000,0,0,Active,male,7,Garland,Texas,Lower Elementary,Newton,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1000,,0,0,1000,Active,female,7,Plano,Texas,Lower Elementary,Newton,5SD,8:30 AM,2:45 PM
8/1/2022,,,,,Tuition,950,,0,0,950,Inactive,male,4,,,Primary,,5SD,8:30 AM,2:45 PM
8/1/2022,,,,,Tuition,1000,Friends & Family,-450,0,550,Inactive,female,4,,,Primary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1050,CCA Discount,-130,0,920,Active,female,4,Garland,Texas,Primary,Chevalier,FD,7:00 AM,6:00 PM
8/1/2022,,,,Ava,Tuition,1000,Sibling ,-142.62,0,857.38,Active,female,4,Garland,Texas,Primary,Van Gogh,FD,7:00 AM,6:00 PM
8/1/2022,,,,Bouchra,Tuition,1000,Friends & Family,-300,0,700,Active,female,11,Richardson,Texas,Upper Elementary,Einstein,5SD,8:30 AM,2:45 PM
8/1/2022,,,,Jude,Tuition,1100,Friends & Family,-1100,0,0,Active,male,4,Garland,Texas,Primary,Van Gogh,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1000,Old Price Discount,-50,0,950,Active,female,5,Garland,Texas,Primary,Van Gogh,FD,7:00 AM,6:00 PM
8/1/2022,,,,Ameera,Tuition,1000,Employee discount,-1000,0,0,Inactive,male,9,Richardson,Texas,Upper Elementary,Einstein,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1050,Friends & Family,-200,0,850,Inactive,male,8,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1100,Old Price Discount,-50,0,1050,Active,male,4,Garland,Texas,Primary,Chevalier,FD,7:00 AM,6:00 PM
8/1/2022,,,,Emma,Tuition,1000,Sibling ,-97.5,0,902.5,Inactive,female,4,,,Primary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,Jena,Tuition,1000,Friends & Family,-450,0,550,Active,female,6,Wylie,Texas,Lower Elementary,Newton,FD,7:00 AM,6:00 PM
8/1/2022,,,,Avah,Tuition,577.5,CCA Discount,-111.1,0,466.4,Inactive,female,,,,Toddler,,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1050,Friends & Family,-200,0,850,Inactive,female,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1000,Old Price Discount,-50,0,950,Inactive,male,4,,,Primary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,Isla,Tuition,1000,Sibling ,-97.5,0,902.5,Active,male,5,Garland,Texas,Primary,Chevalier,FD,7:00 AM,6:00 PM
8/1/2022,,,,Isla,Tuition,95,,0,0,95,Active,male,5,Garland,Texas,Primary,Chevalier,FD,7:00 AM,6:00 PM
8/1/2022,,,,Ella,Tuition,1000,Sibling ,-97.5,0,902.5,Active,male,7,Richardson,Texas,Lower Elementary,Newton,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1000,,0,0,1000,Active,female,7,Garland,Texas,Lower Elementary,Newton,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1050,Old Price Discount,-50,-1000,0,Inactive,male,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1050,Old Price Discount,-50,0,1000,Inactive,male,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1050,Sibling ,-100,0,950,Inactive,male,6,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1100,Old Price Discount,-50,0,1050,Active,female,3,Plano,Texas,Toddler,Mozart,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,950,Sibling ,-47.5,-902.5,0,Inactive,female,5,,,Primary,,5SD,8:30 AM,2:45 PM
8/1/2022,,,,,Tuition,1050,Sibling ,-52.5,-997.5,0,Inactive,male,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1000,Corporate Discount,-97.5,0,902.5,Inactive,male,4,,,Primary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,Bonnie,Tuition,1133,Old Price Discount,-114.5,0,1018.5,Active,male,11,Garland,Texas,Upper Elementary,Einstein,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,950,Old Price Discount,-100,0,850,Active,female,6,Sachse,Texas,Lower Elementary,Newton,5SD,8:30 AM,2:45 PM
8/1/2022,,,,,Tuition,1050,Friends & Family,-200,-42.5,807.5,Inactive,female,5,,,Primary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1050,Old Price Discount,-50,-50,950,Inactive,male,10,Garland,Texas,Upper Elementary,Einstein,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1100,Friends & Family,-300,0,800,Inactive,female,4,Garland,Texas,Primary,Van Gogh,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1000,Friends & Family,-200,0,800,Inactive,male,7,,,Lower Elementary,,5SD,8:30 AM,2:45 PM
8/1/2022,,,,,Tuition,1000,Friends & Family,-450,0,550,Inactive,male,5,,,Primary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,900,Old Price Discount,-100,0,800,Active,female,5,Sachse,Texas,Primary,Cassatt,5SD,8:30 AM,2:45 PM
8/1/2022,,,,Ghufran,Tuition,1400,CCA Discount,-369.6,0,1030.4,Active,female,1,Garland,Texas,Infant,Vivaldi,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,950,,0,0,950,Inactive,female,4,,,Primary,,5SD,8:30 AM,2:45 PM
8/1/2022,,,,,Tuition,1155,CCA Discount,-428.89,0,726.11,Active,female,9,Garland,Texas,Lower Elementary,Newton,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1000,Old Price Discount,-50,0,950,Inactive,male,7,,,Lower Elementary,,5SD,8:30 AM,2:45 PM
8/1/2022,,,,,Tuition,1100,,0,0,1100,Active,male,3,Dallas,Texas,Primary,Chevalier,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1155,CCA Discount,-179.8,0,975.2,Active,male,3,Richardson,Texas,Toddler,Mozart,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1000,,0,0,1000,Inactive,male,7,,,Lower Elementary,,5SD,8:30 AM,2:45 PM
8/1/2022,,,,,Tuition,1100,,0,0,1100,Active,female,4,Richardson,Texas,Primary,Chevalier,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1155,,0,-1155,0,Active,female,2,Richardson,Texas,Infant,Debussy,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,97,,0,0,97,Active,female,2,Richardson,Texas,Infant,Debussy,FD,7:00 AM,6:00 PM
8/1/2022,,,,Abigail,Tuition,1050,CCA Discount,-130,0,920,Active,male,4,Richardson,Texas,Primary,Cassatt,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1050,Sibling ,-100,0,950,Inactive,female,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1000,Sibling ,-1000,0,0,Active,female,8,Richardson,Texas,Lower Elementary,Newton,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1155,CCA Discount,-428.89,0,726.11,Active,female,11,Garland,Texas,Upper Elementary,Einstein,FD,7:00 AM,6:00 PM
8/1/2022,,,,Abigail,Tuition,1400,CCA Discount,-369.6,0,1030.4,Active,male,2,Richardson,Texas,Infant,Debussy,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1000,Employee discount,-500,-500,0,Active,female,11,,,Upper Elementary,Einstein,5SD,8:30 AM,2:45 PM
8/1/2022,,,,Ghufran,Tuition,1155,CCA Discount,-428.89,0,726.11,Active,female,8,Garland,Texas,Lower Elementary,Newton,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1155,,0,0,1155,Active,female,3,Sachse,Texas,Toddler,Mozart,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1155,Old Price Discount,-55,-55,1045,Active,male,2,Garland,Texas,Toddler,Monet,FD,7:00 AM,6:00 PM
8/1/2022,,,,Ayah,Tuition,1000,Sibling ,-97.5,0,902.5,Active,female,5,Rowlett,Texas,Primary,Cassatt,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1000,Sibling ,-185.49,0,814.51,Active,female,5,Richardson,Texas,Primary,Cassatt,FD,7:00 AM,6:00 PM
8/1/2022,,,,Shifa,Tuition,1000,,0,0,1000,Active,male,7,Sachse,Texas,Lower Elementary,Newton,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1050,,0,0,1050,Inactive,male,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1100,Healthcare Worker,-55,0,1045,Active,female,3,Rowlett,Texas,Toddler,Beethoven,FD,7:00 AM,6:00 PM
8/1/2022,,,,Dominik,Tuition,997.5,Old Price Discount,-95,0,902.5,Active,male,10,Garland,Texas,Upper Elementary,Einstein,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1155,Old Price Discount,-55,0,1100,Active,female,2,Richardson,Texas,Toddler,Monet,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1100,,0,0,1100,Active,female,4,Plano,Texas,Primary,Chevalier,FD,7:00 AM,6:00 PM
8/1/2022,,,,Jenna,Tuition,950,Employee discount,-950,0,0,Active,female,7,Garland,Texas,Lower Elementary,Newton,5SD,8:30 AM,2:45 PM
8/1/2022,,,,,Tuition,1155,CCA Discount,-179.8,0,975.2,Active,male,2,Garland,Texas,Toddler,Monet,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1155,CCA Discount,-179.8,0,975.2,Active,female,3,Garland,Texas,Toddler,Mozart,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1155,CCA Discount,-428.89,0,726.11,Active,female,5,Garland,Texas,Primary,Cassatt,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1000,Old Price Discount,-50,0,950,Inactive,male,5,,,Primary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1000,Friends & Family,-1000,0,0,Inactive,male,7,,,Lower Elementary,,5SD,8:30 AM,2:45 PM
8/1/2022,,,,,Tuition,1100,Old Price Discount,-50,0,1050,Active,male,3,Richardson,Texas,Primary,Chevalier,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1050,Friends & Family,-262.5,0,787.5,Inactive,male,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1050,Friends & Family,-1050,0,0,Inactive,male,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1000,Sibling ,-50,-950,0,Inactive,male,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1000,Sibling ,-50,0,950,Inactive,male,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1050,CCA Discount,-130,0,920,Active,male,4,Garland,Texas,Primary,Cassatt,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1155,Old Price Discount,-55,0,1100,Active,male,2,Rockwall,Texas,Toddler,Monet,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1000,Sibling ,-97.5,0,902.5,Active,female,7,Plano,Texas,Lower Elementary,Newton,5SD,8:30 AM,2:45 PM
8/1/2022,,,,,Tuition,1100,Employee discount,-1100,0,0,Inactive,male,4,,,Primary,,3SD,8:30 AM,2:45 PM
8/1/2022,,,,Aaliyan,Tuition,1100,,0,0,1100,Active,male,3,Garland,Texas,Primary,Chevalier,5SD,8:30 AM,2:45 PM
9/1/2022,,,,Zayyan,Tuition,1100,Sibling ,-55,0,1045,Active,male,4,Garland,Texas,Primary,Chevalier,5SD,8:30 AM,2:45 PM
9/1/2022,,,,,Tuition,950,Old Price Discount,47.5,0,902.5,Inactive,male,4,Plano,Texas,Primary,Chevalier,FD,7:00 AM,6:00 PM
9/1/2022,,,,Ragnar,Tuition,1155,CCA Discount,-428.89,0,726.11,Active,female,8,Richardson,Texas,Lower Elementary,Newton,FD,7:00 AM,6:00 PM
9/1/2022,,,,,Tuition,1050,,0,0,1050,Active,female,3,Garland,Texas,Primary,Chevalier,FD,7:00 AM,6:00 PM
9/1/2022,,,,Arlo,Tuition,950,,0,0,950,Inactive,female,7,,,Lower Elementary,,5SD,8:30 AM,2:45 PM
9/1/2022,,,,,Tuition,1050,Old Price Discount,-50,0,1000,Inactive,male,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
9/1/2022,,,,,Tuition,1400,CCA Discount,-369.6,0,1030.4,Active,female,2,Garland,Texas,Infant,Debussy,FD,7:00 AM,6:00 PM
9/1/2022,,,,,Tuition,1000,,0,0,1000,Inactive,female,5,,,Primary,,FD,7:00 AM,6:00 PM
9/1/2022,,,,,Tuition,841,,0,0,841,Inactive,female,5,,,Primary,,FD,7:00 AM,6:00 PM
9/1/2022,,,,,Tuition,1018.5,Prepayment Discount,-96.9,0,921.6,Inactive,female,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
9/1/2022,,,,,Tuition,1024.39,Sibling ,-51.22,-973.17,0,Active,male,3,Garland,Texas,Toddler,Monet,FD,7:00 AM,6:00 PM
9/1/2022,,,,,Tuition,1100,Healthcare Worker,-55,0,1045,Inactive,female,4,,,Primary,,FD,7:00 AM,6:00 PM
9/1/2022,,,,,Tuition,950,Employee discount,-950,0,0,Active,female,5,Richardson,Texas,Primary,Cassatt,FD,7:00 AM,6:00 PM
9/1/2022,,,,,Tuition,1050,Old Price Discount,-50,0,1000,Inactive,female,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
9/1/2022,,,,,Tuition,1155,Old Price Discount,-55,0,1100,Active,female,2,Garland,Texas,Toddler,Monet,FD,7:00 AM,6:00 PM
9/1/2022,,,,,Tuition,1050,Employee discount,-1050,0,0,Inactive,female,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
9/1/2022,,,,,Tuition,950,,0,0,950,Inactive,male,5,,,Primary,,5SD,8:30 AM,2:45 PM
9/1/2022,,,,,Tuition,1018.5,Military Discount,-50.92,-46.08,921.5,Inactive,male,6,,,Lower Elementary,,5SD,8:30 AM,2:45 PM
9/1/2022,,,,,Tuition,1100,Old Price Discount,-50,0,1050,Active,male,4,Garland,Texas,Primary,Chevalier,FD,7:00 AM,6:00 PM
9/1/2022,,,,,Tuition,1050,Sibling ,-100,0,950,Inactive,male,8,,,Lower Elementary,Newton,5SD,8:30 AM,2:45 PM
9/1/2022,,,,,Tuition,900,Sibling ,-87.75,0,812.25,Inactive,female,5,,,Primary,,FD,7:00 AM,6:00 PM
