Date,StudentName,FirstName,LastName,SiblingName,ChargeCategory,OriginalCharge,DiscountType,DiscountAmount,Adjustment,BillingAmount,Status,Gender,Age,City,State,Program,Room,Schedule,StartTime,EndTime
8/1/2022,Cecelia Johnson,Cecelia,Johnson,Avah,Tuition,$700.00,CCA Discount,-$207.20,$0.00,$492.80,Inactive,female,,,,Infant,,FD,7:00 AM,6:00 PM
8/1/2022,Celine Khater,Celine,Khater,Ali,Tuition,$950.00,Old Price Discount,-$100.00,-$850.00,$0.00,Inactive,female,4,,,Primary,,5SD,8:30 AM,2:45 PM
8/1/2022,Cleo Tarazona,Cleo,Tarazona,,Tuition,"$1,050.00",CCA Discount,-$130.00,$0.00,$920.00,Active,female,4,Garland,Texas,Primary,Van Gogh,FD,7:00 AM,6:00 PM
8/1/2022,Copelyn McAnally,Copelyn,McAnally,,Tuition,"$1,155.00",CCA Discount,-$179.80,$0.00,$975.20,Active,female,2,Garland,Texas,Toddler,Beethoven,FD,7:00 AM,6:00 PM
8/1/2022,Dahniyaal Haq,Dahniyaal,Haq,,Tuition,"$1,050.00",Old Price Discount,-$50.00,$0.00,"$1,000.00",Inactive,male,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,Dakota Williams,Dakota,Williams,Luna,Tuition,"$1,000.00",Sibling ,-$142.62,$0.00,$857.38,Inactive,female,4,,,Primary,,FD,7:00 AM,6:00 PM
8/1/2022,Daniel Galindo,Daniel,Galindo,,Tuition,"$1,000.00",Old Price Discount,-$50.00,$0.00,$950.00,Inactive,male,5,,,Primary,,FD,7:00 AM,6:00 PM
8/1/2022,Darshan Alagar,Darshan,Alagar,,Tuition,"$1,000.00",Corporate Discount,-$50.00,$0.00,$950.00,Active,male,4,Garland,Texas,Primary,Chevalier,5HD,8:30 AM,12:00 PM
8/1/2022,Darshan Alagar,Darshan,Alagar,,Tuition,$190.00,,$0.00,$0.00,$190.00,Active,male,4,Garland,Texas,Primary,Chevalier,5HD,8:30 AM,12:00 PM
8/1/2022,Demi McClure,Demi,McClure,Dessa,Tuition,"$1,000.00",Sibling ,-$97.50,$0.00,$902.50,Active,female,5,Garland,Texas,Primary,Cassatt,FD,7:00 AM,6:00 PM
8/1/2022,Denver Hoeffner,Denver,Hoeffner,,Tuition,"$1,000.00",Sibling ,-$50.00,$0.00,$950.00,Inactive,male,4,,,Primary,,FD,7:00 AM,6:00 PM
8/1/2022,Dessa McClure,Dessa,McClure,Demi,Tuition,"$1,100.00",Corporate Discount,-$102.50,$0.00,$997.50,Active,female,3,Garland,Texas,Toddler,Monet,FD,7:00 AM,6:00 PM
8/1/2022,Dominik Escobar,Dominik,Escobar,Stefan,Tuition,$950.00,Sibling ,-$135.47,$0.00,$814.53,Active,male,7,Garland,Texas,Lower Elementary,Newton,FD,7:00 AM,6:00 PM
8/1/2022,Easton Taylor,Easton,Taylor,Helios,Tuition,"$1,155.00",CCA Discount,-$428.89,$0.00,$726.11,Active,male,10,Garland,Texas,Upper Elementary,Einstein,FD,7:00 AM,6:00 PM
8/1/2022,Elias Dimoulakis,Elias,Dimoulakis,,Tuition,"$1,050.00",Old Price Discount,-$50.00,$0.00,"$1,000.00",Inactive,male,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,Elias Nichols,Elias,Nichols,,Tuition,"$1,100.00",Old Price Discount,-$50.00,$0.00,"$1,050.00",Active,male,3,Garland,Texas,Primary,Chevalier,5SD,8:30 AM,2:45 PM
8/1/2022,Elind Hawlery,Elind,Hawlery,Aydin,Tuition,"$1,050.00",CCA Discount,-$70.34,$0.00,$979.66,Active,male,5,Wylie,Texas,Primary,Chevalier,FD,7:00 AM,6:00 PM
8/1/2022,Ella Tamo,Ella,Tamo,Liam,Tuition,"$1,000.00",Sibling ,-$97.50,$0.00,$902.50,Active,female,5,Richardson,Texas,Primary,Cassatt,FD,7:00 AM,6:00 PM
8/1/2022,Elliana Medina Fuentes,Elliana,Medina Fuentes,,Tuition,"$1,100.00",Teacher Discount,-$102.50,-$997.50,$0.00,Active,female,3,Richardson,Texas,Toddler,Monet,FD,7:00 AM,6:00 PM
8/1/2022,Elliana Medina Fuentes,Elliana,Medina Fuentes,,Tuition,"$1,050.00",Teacher Discount,-$52.50,$0.00,$997.50,Active,female,3,Richardson,Texas,Toddler,Monet,FD,7:00 AM,6:00 PM
8/1/2022,Emma Diaz,Emma,Diaz,,Tuition,"$1,100.00",Old Price Discount,-$50.00,$0.00,"$1,050.00",Active,female,3,Rowlett,Texas,Primary,Van Gogh,5SD,8:30 AM,2:45 PM
8/1/2022,Emma Rey Zinck,Emma,Rey Zinck,,Tuition,"$1,000.00",Sibling ,-$185.49,$0.00,$814.51,Inactive,female,7,,,Lower Elementary,,5SD,8:30 AM,2:45 PM
8/1/2022,Emma Tamo,Emma,Tamo,Liam,Tuition,"$1,155.00",Teacher Discount,-$110.00,$0.00,"$1,045.00",Active,female,2,Richardson,Texas,Toddler,Beethoven,FD,7:00 AM,6:00 PM
8/1/2022,Ethan Mai,Ethan,Mai,,Tuition,"$1,050.00",Healthcare Worker,-$52.50,$0.00,$997.50,Active,male,4,Garland,Texas,Primary,Chevalier,FD,7:00 AM,6:00 PM
8/1/2022,Ezra Mackens,Ezra,Mackens,,Tuition,"$1,018.50",Healthcare Worker,-$142.98,$0.00,$875.52,Inactive,female,4,,,Primary,,5SD,8:30 AM,2:45 PM
8/1/2022,Ezra Mackens,Ezra,Mackens,,Tuition,"$1,018.50",Healthcare Worker,-$142.98,$0.00,$875.52,Inactive,female,4,,,Primary,,5SD,8:30 AM,2:45 PM
8/1/2022,Faith Dugda,Faith,Dugda,,Tuition,$970.00,Sibling ,-$138.37,$0.00,$831.63,Inactive,female,5,,,Primary,,FD,7:00 AM,6:00 PM
8/1/2022,Fares Aldawyma,Fares,Aldawyma,,Tuition,"$1,050.00",Friends & Family,-$262.50,$0.00,$787.50,Inactive,male,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,Felix Devlin,Felix,Devlin,,Tuition,"$1,100.00",Old Price Discount,-$50.00,$0.00,"$1,050.00",Inactive,male,4,,,Primary,,FD,7:00 AM,6:00 PM
8/1/2022,Ghufran Alzobi,Ghufran,Alzobi,Nooran,Tuition,"$1,155.00",CCA Discount,-$428.89,$0.00,$726.11,Active,female,8,Garland,Texas,Lower Elementary,Newton,FD,7:00 AM,6:00 PM
8/1/2022,Gibran Ghaffar,Gibran,Ghaffar,,Tuition,$950.00,Old Price Discount,-$100.00,$0.00,$850.00,Inactive,male,4,,,Primary,,5SD,8:30 AM,2:45 PM
8/1/2022,Gracelynn Idigbe,Gracelynn,Idigbe,,Tuition,"$1,050.00",,$0.00,$0.00,"$1,050.00",Inactive,female,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,Haley Fisher,Haley,Fisher,,Tuition,"$1,050.00",,$0.00,"-$1,050.00",$0.00,Inactive,female,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,Hamza Sheikh,Hamza,Sheikh,,Tuition,"$1,050.00",Sibling ,-$52.50,$0.00,$997.50,Inactive,male,8,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,Hasseyt Tegene,Hasseyt,Tegene,,Tuition,"$1,050.00",Friends & Family,-$200.00,$0.00,$850.00,Inactive,male,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,Helios Taylor,Helios,Taylor,Easton,Tuition,"$1,155.00",CCA Discount,-$179.80,$0.00,$975.20,Active,male,2,Garland,Texas,Toddler,Monet,FD,7:00 AM,6:00 PM
8/1/2022,Henry Stewart,Henry,Stewart,,Tuition,"$1,000.00",Old Price Discount,-$50.00,$0.00,$950.00,Inactive,male,4,,,Primary,,FD,7:00 AM,6:00 PM
8/1/2022,Hunter Taylor,Hunter,Taylor,Easton,Tuition,"$1,400.00",CCA Discount,-$369.60,$0.00,"$1,030.40",Active,male,1,Garland,Texas,Infant,Vivaldi,FD,7:00 AM,6:00 PM
8/1/2022,Ian Corazao,Ian,Corazao,,Tuition,"$1,000.00",Old Price Discount,-$50.00,$0.00,$950.00,Inactive,female,7,,,Lower Elementary,,5SD,8:30 AM,2:45 PM
8/1/2022,Isaac Soto,Isaac,Soto,,Tuition,"$1,050.00",Friends & Family,-$200.00,$0.00,$850.00,Inactive,male,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,Isha Dissanayake,Isha,Dissanayake,,Tuition,"$1,100.00",Teacher Discount,-$110.00,$0.00,$990.00,Active,female,3,Rowlett,Texas,Toddler,Monet,FD,7:00 AM,6:00 PM
8/1/2022,Isla Kerns,Isla,Kerns,Liam,Tuition,"$1,100.00",Old Price Discount,-$50.00,$0.00,"$1,050.00",Active,female,3,Garland,Texas,Primary,Van Gogh,FD,7:00 AM,6:00 PM
8/1/2022,Iva Ogunyemi,Iva,Ogunyemi,,Tuition,"$1,100.00",Corporate Discount,-$102.50,$0.00,$997.50,Active,female,3,Plano,Texas,Primary,Van Gogh,FD,7:00 AM,6:00 PM
8/1/2022,Ivan Shrivastava,Ivan,Shrivastava,,Tuition,$900.00,Old Price Discount,-$100.00,-$800.00,$0.00,Inactive,female,4,,,Primary,,5HD,8:30 AM,12:00 PM
8/1/2022,Ivan Shrivastava,Ivan,Shrivastava,,Tuition,$950.00,Old Price Discount,-$100.00,$0.00,$850.00,Inactive,female,4,,,Primary,,5HD,8:30 AM,12:00 PM
8/1/2022,Izzideen Alhidmi,Izzideen,Alhidmi,,Tuition,$950.00,Sibling ,-$47.50,$0.00,$902.50,Inactive,male,5,,,Primary,,5SD,8:30 AM,2:45 PM
8/1/2022,Jaden Cereceres,Jaden,Cereceres,,Tuition,"$1,050.00",Healthcare Worker,-$52.50,$0.00,$997.50,Active,male,11,Sachse,Texas,Upper Elementary,Einstein,FD,7:00 AM,6:00 PM
8/1/2022,Jaden Cereceres,Jaden,Cereceres,,Tuition,"$1,050.00",Healthcare Worker,-$52.50,-$997.50,$0.00,Active,male,11,Sachse,Texas,Upper Elementary,Einstein,FD,7:00 AM,6:00 PM
8/1/2022,Janna Alhidmi,Janna,Alhidmi,,Tuition,"$1,000.00",Old Price Discount,-$50.00,$0.00,$950.00,Inactive,female,7,,,Lower Elementary,,5SD,8:30 AM,2:45 PM
8/1/2022,Jassem Sheikh,Jassem,Sheikh,,Tuition,"$1,050.00",,$0.00,$0.00,"$1,050.00",Inactive,male,8,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,Jena Altarda,Jena,Altarda,Layaan,Tuition,"$1,100.00",Friends & Family,-$550.00,$0.00,$550.00,Active,female,3,Wylie,Texas,Primary,Van Gogh,FD,7:00 AM,6:00 PM
8/1/2022,Jenna Alsabawe,Jenna,Alsabawe,Taleen,Tuition,$950.00,Employee discount,-$950.00,$0.00,$0.00,Active,female,8,Garland,Texas,Lower Elementary,Newton,5SD,8:30 AM,2:45 PM
8/1/2022,Jonathan Nguyen,Jonathan,Nguyen,Amadeus,Tuition,"$1,000.00",,$0.00,$0.00,"$1,000.00",Active,male,6,Garland,Texas,Lower Elementary,Newton,FD,7:00 AM,6:00 PM
8/1/2022,Jude Akar,Jude,Akar,Karam,Tuition,"$1,000.00",Employee discount,"-$1,000.00",$0.00,$0.00,Active,male,7,Garland,Texas,Lower Elementary,Newton,FD,7:00 AM,6:00 PM
8/1/2022,Jude Hart,Jude,Hart,,Tuition,"$1,000.00",,$0.00,$0.00,"$1,000.00",Active,female,7,Plano,Texas,Lower Elementary,Newton,5SD,8:30 AM,2:45 PM
8/1/2022,Jude Ibrahim,Jude,Ibrahim,,Tuition,$950.00,,$0.00,$0.00,$950.00,Inactive,male,4,,,Primary,,5SD,8:30 AM,2:45 PM
8/1/2022,Jude Tarda,Jude,Tarda,,Tuition,"$1,000.00",Friends & Family,-$450.00,$0.00,$550.00,Inactive,female,4,,,Primary,,FD,7:00 AM,6:00 PM
8/1/2022,Juliana Fuentes,Juliana,Fuentes,,Tuition,"$1,050.00",CCA Discount,-$130.00,$0.00,$920.00,Active,female,4,Garland,Texas,Primary,Chevalier,FD,7:00 AM,6:00 PM
8/1/2022,June Toufexis,June,Toufexis,Ava,Tuition,"$1,000.00",Sibling ,-$142.62,$0.00,$857.38,Active,female,4,Garland,Texas,Primary,Van Gogh,FD,7:00 AM,6:00 PM
8/1/2022,Kaouthar Tayebi,Kaouthar,Tayebi,Bouchra,Tuition,"$1,000.00",Friends & Family,-$300.00,$0.00,$700.00,Active,female,11,Richardson,Texas,Upper Elementary,Einstein,5SD,8:30 AM,2:45 PM
8/1/2022,Karam Akar,Karam,Akar,Jude,Tuition,"$1,100.00",Friends & Family,"-$1,100.00",$0.00,$0.00,Active,male,4,Garland,Texas,Primary,Van Gogh,FD,7:00 AM,6:00 PM
8/1/2022,Katherine Li,Katherine,Li,,Tuition,"$1,000.00",Old Price Discount,-$50.00,$0.00,$950.00,Active,female,5,Garland,Texas,Primary,Van Gogh,FD,7:00 AM,6:00 PM
8/1/2022,Keyan Jibrin,Keyan,Jibrin,Ameera,Tuition,"$1,000.00",Employee discount,"-$1,000.00",$0.00,$0.00,Inactive,male,9,Richardson,Texas,Upper Elementary,Einstein,FD,7:00 AM,6:00 PM
8/1/2022,Kidus Tegene,Kidus,Tegene,,Tuition,"$1,050.00",Friends & Family,-$200.00,$0.00,$850.00,Inactive,male,8,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,Kingston Betters,Kingston,Betters,,Tuition,"$1,100.00",Old Price Discount,-$50.00,$0.00,"$1,050.00",Active,male,4,Garland,Texas,Primary,Chevalier,FD,7:00 AM,6:00 PM
8/1/2022,Kira Diaz,Kira,Diaz,Emma,Tuition,"$1,000.00",Sibling ,-$97.50,$0.00,$902.50,Inactive,female,4,,,Primary,,FD,7:00 AM,6:00 PM
8/1/2022,Layaan Altarda,Layaan,Altarda,Jena,Tuition,"$1,000.00",Friends & Family,-$450.00,$0.00,$550.00,Active,female,6,Wylie,Texas,Lower Elementary,Newton,FD,7:00 AM,6:00 PM
8/1/2022,Leila Johnson,Leila,Johnson,Avah,Tuition,$577.50,CCA Discount,-$111.10,$0.00,$466.40,Inactive,female,,,,Toddler,,FD,7:00 AM,6:00 PM
8/1/2022,Levi Soto,Levi,Soto,,Tuition,"$1,050.00",Friends & Family,-$200.00,$0.00,$850.00,Inactive,female,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,Liam Holman,Liam,Holman,,Tuition,"$1,000.00",Old Price Discount,-$50.00,$0.00,$950.00,Inactive,male,4,,,Primary,,FD,7:00 AM,6:00 PM
8/1/2022,Liam Kerns,Liam,Kerns,Isla,Tuition,"$1,000.00",Sibling ,-$97.50,$0.00,$902.50,Active,male,5,Garland,Texas,Primary,Chevalier,FD,7:00 AM,6:00 PM
8/1/2022,Liam Kerns,Liam,Kerns,Isla,Tuition,$95.00,,$0.00,$0.00,$95.00,Active,male,5,Garland,Texas,Primary,Chevalier,FD,7:00 AM,6:00 PM
8/1/2022,Liam Tamo,Liam,Tamo,Ella,Tuition,"$1,000.00",Sibling ,-$97.50,$0.00,$902.50,Active,male,7,Richardson,Texas,Lower Elementary,Newton,FD,7:00 AM,6:00 PM
8/1/2022,London Frye,London,Frye,,Tuition,"$1,000.00",,$0.00,$0.00,"$1,000.00",Active,female,7,Garland,Texas,Lower Elementary,Newton,FD,7:00 AM,6:00 PM
8/1/2022,Lorenzo Sifuentes,Lorenzo,Sifuentes,,Tuition,"$1,050.00",Old Price Discount,-$50.00,"-$1,000.00",$0.00,Inactive,male,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,Lorenzo Sifuentes,Lorenzo,Sifuentes,,Tuition,"$1,050.00",Old Price Discount,-$50.00,$0.00,"$1,000.00",Inactive,male,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,Luca Dimoulakis,Luca,Dimoulakis,,Tuition,"$1,050.00",Sibling ,-$100.00,$0.00,$950.00,Inactive,male,6,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,Luna Hernandez,Luna,Hernandez,,Tuition,"$1,100.00",Old Price Discount,-$50.00,$0.00,"$1,050.00",Active,female,3,Plano,Texas,Toddler,Mozart,FD,7:00 AM,6:00 PM
8/1/2022,Mariam Zaid,Mariam,Zaid,,Tuition,$950.00,Sibling ,-$47.50,-$902.50,$0.00,Inactive,female,5,,,Primary,,5SD,8:30 AM,2:45 PM
8/1/2022,Mason Lee,Mason,Lee,,Tuition,"$1,050.00",Sibling ,-$52.50,-$997.50,$0.00,Inactive,male,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,Matthew Lee,Matthew,Lee,,Tuition,"$1,000.00",Corporate Discount,-$97.50,$0.00,$902.50,Inactive,male,4,,,Primary,,FD,7:00 AM,6:00 PM
8/1/2022,Maxwell Sampson,Maxwell,Sampson,Bonnie,Tuition,"$1,133.00",Old Price Discount,-$114.50,$0.00,"$1,018.50",Active,male,11,Garland,Texas,Upper Elementary,Einstein,FD,7:00 AM,6:00 PM
8/1/2022,Maya Abunijmeh,Maya,Abunijmeh,,Tuition,$950.00,Old Price Discount,-$100.00,$0.00,$850.00,Active,female,6,Sachse,Texas,Lower Elementary,Newton,5SD,8:30 AM,2:45 PM
8/1/2022,Mikaela Tegene,Mikaela,Tegene,,Tuition,"$1,050.00",Friends & Family,-$200.00,-$42.50,$807.50,Inactive,female,5,,,Primary,,FD,7:00 AM,6:00 PM
8/1/2022,Milo Arnquist,Milo,Arnquist,,Tuition,"$1,050.00",Old Price Discount,-$50.00,-$50.00,$950.00,Inactive,male,10,Garland,Texas,Upper Elementary,Einstein,FD,7:00 AM,6:00 PM
8/1/2022,Mira Vayni,Mira,Vayni,,Tuition,"$1,100.00",Friends & Family,-$300.00,$0.00,$800.00,Inactive,female,4,Garland,Texas,Primary,Van Gogh,FD,7:00 AM,6:00 PM
8/1/2022,Mohamad-Burhan Arshouk,Mohamad-Burhan,Arshouk,,Tuition,"$1,000.00",Friends & Family,-$200.00,$0.00,$800.00,Inactive,male,7,,,Lower Elementary,,5SD,8:30 AM,2:45 PM
8/1/2022,Mohamed Tarda,Mohamed,Tarda,,Tuition,"$1,000.00",Friends & Family,-$450.00,$0.00,$550.00,Inactive,male,5,,,Primary,,FD,7:00 AM,6:00 PM
8/1/2022,Naya Kato,Naya,Kato,,Tuition,$900.00,Old Price Discount,-$100.00,$0.00,$800.00,Active,female,5,Sachse,Texas,Primary,Cassatt,5SD,8:30 AM,2:45 PM
8/1/2022,Nooran Alzobi,Nooran,Alzobi,Ghufran,Tuition,"$1,400.00",CCA Discount,-$369.60,$0.00,"$1,030.40",Active,female,1,Garland,Texas,Infant,Vivaldi,FD,7:00 AM,6:00 PM
8/1/2022,Nyla Sigue,Nyla,Sigue,,Tuition,$950.00,,$0.00,$0.00,$950.00,Inactive,female,4,,,Primary,,5SD,8:30 AM,2:45 PM
8/1/2022,Nzuh Hussein,Nzuh,Hussein,,Tuition,"$1,155.00",CCA Discount,-$428.89,$0.00,$726.11,Active,female,9,Garland,Texas,Lower Elementary,Newton,FD,7:00 AM,6:00 PM
8/1/2022,Oliver Zinck,Oliver,Zinck,,Tuition,"$1,000.00",Old Price Discount,-$50.00,$0.00,$950.00,Inactive,male,7,,,Lower Elementary,,5SD,8:30 AM,2:45 PM
8/1/2022,Omar  I. Memon,Omar,I. Memon,,Tuition,"$1,100.00",,$0.00,$0.00,"$1,100.00",Active,male,3,Dallas,Texas,Primary,Chevalier,FD,7:00 AM,6:00 PM
8/1/2022,Omar Abdelmaksoud,Omar,Abdelmaksoud,,Tuition,"$1,155.00",CCA Discount,-$179.80,$0.00,$975.20,Active,male,3,Richardson,Texas,Toddler,Mozart,FD,7:00 AM,6:00 PM
8/1/2022,Paul Crews,Paul,Crews,,Tuition,"$1,000.00",,$0.00,$0.00,"$1,000.00",Inactive,male,7,,,Lower Elementary,,5SD,8:30 AM,2:45 PM
8/1/2022,Penelope Garza,Penelope,Garza,,Tuition,"$1,100.00",,$0.00,$0.00,"$1,100.00",Active,female,4,Richardson,Texas,Primary,Chevalier,FD,7:00 AM,6:00 PM
8/1/2022,Rachel Mathews,Rachel,Mathews,,Tuition,"$1,155.00",,$0.00,"-$1,155.00",$0.00,Active,female,2,Richardson,Texas,Infant,Debussy,FD,7:00 AM,6:00 PM
8/1/2022,Rachel Mathews,Rachel,Mathews,,Tuition,$97.00,,$0.00,$0.00,$97.00,Active,female,2,Richardson,Texas,Infant,Debussy,FD,7:00 AM,6:00 PM
8/1/2022,Ragnar Esparza,Ragnar,Esparza,Abigail,Tuition,"$1,050.00",CCA Discount,-$130.00,$0.00,$920.00,Active,male,4,Richardson,Texas,Primary,Cassatt,FD,7:00 AM,6:00 PM
